2026-03-11 13:34:01 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-03-11 13:40:51 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 4 concepts
2026-03-11 13:40:53 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve filmography and details regarding music promo appearances for actors.
2026-03-11 13:40:55 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:40:55 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:40:56 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'filmstrip']
2026-03-11 13:40:57 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:41:02 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:41:15 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:41:23 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:41:24 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve location and real estate usage information related to specified addresses.
2026-03-11 13:41:26 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:41:26 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:41:31 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:41:40 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:41:49 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:41:50 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details, specifically focusing on managerial roles and timeframes.
2026-03-11 13:41:51 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:41:52 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:41:57 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:42:10 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:42:17 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 4 concepts
2026-03-11 13:42:18 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve location details and population statistics for places mentioned in the knowledge base.
2026-03-11 13:42:20 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:42:23 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:42:28 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 2 concepts
2026-03-11 13:42:30 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve location information and associated facts for the entity mentioned.
2026-03-11 13:42:31 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:42:37 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:42:48 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:42:56 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 4 concepts
2026-03-11 13:42:58 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve historical conference names associated with athletic teams, specifically from 1988-1996.
2026-03-11 13:42:59 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:43:04 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:43:16 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:43:22 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:43:23 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information and artistic genre classifications for the individuals.
2026-03-11 13:43:25 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:43:29 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:43:39 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:43:46 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 3 concepts
2026-03-11 13:43:47 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information regarding the years of service for a political figure.
2026-03-11 13:43:48 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:43:49 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'firm']
2026-03-11 13:43:54 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:44:03 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:44:09 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:44:10 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information, specifically focusing on origin and nationality.
2026-03-11 13:44:11 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:44:15 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:44:24 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:44:33 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 3 concepts
2026-03-11 13:44:34 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details and racing achievements of Formula One drivers.
2026-03-11 13:44:36 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:44:37 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:44:44 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:44:56 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:45:05 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:45:06 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve filmography and voice acting roles for the person mentioned in the query.
2026-03-11 13:45:07 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:45:08 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'filmstrip']
2026-03-11 13:45:09 | LLMService | DEBUG | [LLM] Type synonyms for 'animal': ['animal', 'creature', 'beast', 'wildlife', 'fauna', 'organism']
2026-03-11 13:45:14 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:45:19 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 2 concepts
2026-03-11 13:45:20 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details, including significant life events and accomplishments.
2026-03-11 13:45:22 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:45:25 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:45:31 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 2 concepts
2026-03-11 13:45:32 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details, filmography, and related events concerning Jim Cummings.
2026-03-11 13:45:34 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:45:38 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:45:49 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:45:57 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:45:59 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve technical documentation and device interactions related to the original target of the Apple Remote.
2026-03-11 13:46:00 | LLMService | DEBUG | [LLM] Type synonyms for 'device': ['device', 'gadget', 'instrument', 'tool', 'equipment', 'machine']
2026-03-11 13:46:01 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:46:05 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:46:15 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:46:23 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:46:25 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve performance act details, focusing on artist/instrumentation ratios and related metrics.
2026-03-11 13:46:26 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:46:28 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:46:35 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 3 concepts
2026-03-11 13:46:36 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve band member lists and their affiliations within each musical group.
2026-03-11 13:46:37 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:46:42 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:46:52 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:47:00 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:47:01 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details, specifically regarding awards and recognition received.
2026-03-11 13:47:03 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:47:04 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:47:08 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:47:19 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:47:29 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:47:30 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details, including dates of death and associated creative works.
2026-03-11 13:47:32 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:47:33 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'filmstrip']
2026-03-11 13:47:43 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:47:52 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:48:01 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 4 concepts
2026-03-11 13:48:02 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve founding dates and historical information for universities and their origins.
2026-03-11 13:48:04 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:48:05 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:48:09 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:48:21 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:48:30 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:48:31 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve taxonomic classifications and genus designations from the personal knowledge base.
2026-03-11 13:48:33 | LLMService | DEBUG | [LLM] Type synonyms for 'plant': ['plant', 'flora', 'vegetation', 'greenery', 'botanical', 'sprout']
2026-03-11 13:48:33 | LLMService | DEBUG | [LLM] Type synonyms for 'genus': ['genus', 'species', 'kind', 'category', 'group', 'family']
2026-03-11 13:48:38 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:48:48 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:48:58 | LLMService | INFO | [Ollama] Raw extraction: 4 entities, 3 concepts
2026-03-11 13:48:59 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information about founders and key figures in relevant industries.
2026-03-11 13:49:00 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:49:01 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:49:02 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:49:06 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:49:13 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:49:21 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 2 concepts
2026-03-11 13:49:22 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve game titles, designers, and key details from my personal knowledge base.
2026-03-11 13:49:23 | LLMService | DEBUG | [LLM] Type synonyms for 'game': ['game', 'activity', 'contest', 'play', 'simulation']
2026-03-11 13:49:24 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:49:29 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:49:40 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:49:47 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:49:49 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve release dates and information about musical albums from the knowledge base.
2026-03-11 13:49:50 | LLMService | DEBUG | [LLM] Type synonyms for 'album': ['album', 'record', 'lp', 'cd', 'collection', 'disc']
2026-03-11 13:49:51 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:49:56 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:50:05 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:50:13 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:50:14 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve founding locations and origins of musical artists and bands.
2026-03-11 13:50:16 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:50:16 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:50:21 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:50:30 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:50:36 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 3 concepts
2026-03-11 13:50:38 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details and adventure exploits associated with notable figures.
2026-03-11 13:50:39 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:50:40 | LLMService | DEBUG | [LLM] Type synonyms for 'aircraft': ['aircraft', 'airplane', 'aeroplane', 'jet', 'flight', 'glider']
2026-03-11 13:50:44 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:50:52 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:51:01 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:51:01 | LLMService | ERROR | [Ollama] Validation failed: 1 validation error for QueryAnalysis
intent
  Input should be 'search', 'summarize', 'compare', 'explain', 'list' or 'recent' [type=literal_error, input_value='verify', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/literal_error
