2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate1] 'crack a smile' → 1 candidate(s): ['crack a smile...and more!']
2026-03-25 05:55:58 | SimilarityScript | INFO | [Gate3 PASS] 'iffhs world's best goalkeeper' <-> 'the iffhs world's best goalkeeper' cosine=0.982
2026-03-25 05:56:00 | SimilarityScript | INFO |   [CREATED] IS_LINGUISTIC_VARIANT: 'iffhs world's best goalkeeper' <-> 'the iffhs world's best goalkeeper' (confidence=1.00)
2026-03-25 05:56:00 | SimilarityScript | INFO | [Gate1] 'independent spirit award for best editing' → 1 candidate(s): ['best editing']
2026-03-25 05:56:00 | SimilarityScript | INFO | [Gate1] 'kodansha manga award' → 1 candidate(s): ['kodansha manga award for shōnen']
2026-03-25 05:56:00 | SimilarityScript | INFO | [Gate3 PASS] 'kodansha manga award' <-> 'kodansha manga award for shōnen' cosine=0.967
2026-03-25 05:56:02 | SimilarityScript | INFO |   [CREATED] IS_BROADER_CATEGORY: 'kodansha manga award' <-> 'kodansha manga award for shōnen' (confidence=1.00)
2026-03-25 05:56:02 | SimilarityScript | INFO | [Gate1] 'kodansha manga award for shōnen' → 1 candidate(s): ['kodansha manga award']
2026-03-25 05:56:03 | SimilarityScript | INFO | [Gate1] 'special achievement academy award' → 1 candidate(s): ['academy award']
2026-03-25 05:56:03 | SimilarityScript | INFO | [Gate1] 'the iffhs world's best club coach' → 1 candidate(s): ["iffhs world's best club coach"]
2026-03-25 05:56:03 | SimilarityScript | INFO | [Gate1] 'the iffhs world's best goalkeeper' → 2 candidate(s): ["world's best goalkeeper", "iffhs world's best goalkeeper"]
2026-03-25 05:56:03 | SimilarityScript | INFO | [Gate3 FAIL] 'the iffhs world's best goalkeeper' <-> 'world's best goalkeeper' cosine=0.841 (threshold 0.88)
2026-03-25 05:56:03 | SimilarityScript | INFO | [Gate1] 'world's best goalkeeper' → 2 candidate(s): ["iffhs world's best goalkeeper", "the iffhs world's best goalkeeper"]
2026-03-25 05:56:04 | SimilarityScript | INFO | [Gate1] 'back to the divide' → 1 candidate(s): ['the divide']
2026-03-25 05:56:04 | SimilarityScript | INFO | [Gate3 FAIL] 'back to the divide' <-> 'the divide' cosine=0.876 (threshold 0.88)
2026-03-25 05:56:04 | SimilarityScript | INFO | [Gate1] 'coral gardens and their magic' → 1 candidate(s): ['coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the trobriand islands']
2026-03-25 05:56:04 | SimilarityScript | INFO | [Gate3 FAIL] 'coral gardens and their magic' <-> 'coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the trobriand islands' cosine=0.866 (threshold 0.88)
2026-03-25 05:56:04 | SimilarityScript | INFO | [Gate1] 'coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the trobriand islands' → 1 candidate(s): ['coral gardens and their magic']
2026-03-25 05:56:04 | SimilarityScript | INFO | [Gate1] 'jinx on the divide' → 1 candidate(s): ['the divide']
2026-03-25 05:56:04 | SimilarityScript | INFO | [Gate3 PASS] 'jinx on the divide' <-> 'the divide' cosine=0.902
2026-03-25 05:56:06 | SimilarityScript | INFO |   [CREATED] IS_SEQUEL_INSTALLMENT: 'jinx on the divide' <-> 'the divide' (confidence=1.00)
2026-03-25 05:56:07 | SimilarityScript | INFO | [Gate1] 'the divide' → 2 candidate(s): ['back to the divide', 'jinx on the divide']
2026-03-25 05:56:07 | SimilarityScript | INFO | [Gate1] 'left behind' → 1 candidate(s): ['left behind: the kids']
2026-03-25 05:56:07 | SimilarityScript | INFO | [Gate3 FAIL] 'left behind' <-> 'left behind: the kids' cosine=0.856 (threshold 0.88)
2026-03-25 05:56:07 | SimilarityScript | INFO | [Gate1] 'left behind: the kids' → 1 candidate(s): ['left behind']
2026-03-25 05:56:07 | SimilarityScript | INFO | [Gate1] 'russian toy' → 1 candidate(s): ['russian toy terrier']
2026-03-25 05:56:08 | SimilarityScript | INFO | [Gate3 FAIL] 'russian toy' <-> 'russian toy terrier' cosine=0.741 (threshold 0.88)
2026-03-25 05:56:08 | SimilarityScript | INFO | [Gate1] 'russian toy terrier' → 1 candidate(s): ['russian toy']
2026-03-25 05:56:08 | SimilarityScript | INFO | [Gate1] 'carl b. stokes federal court house tower' → 1 candidate(s): ['federal court house tower']
2026-03-25 05:56:08 | SimilarityScript | INFO | [Gate3 PASS] 'carl b. stokes federal court house tower' <-> 'federal court house tower' cosine=0.925
2026-03-25 05:56:10 | SimilarityScript | INFO |   [CREATED] IS_SYNONYM: 'carl b. stokes federal court house tower' <-> 'federal court house tower' (confidence=1.00)
2026-03-25 05:56:10 | SimilarityScript | INFO | [Gate1] 'fawcett house' → 1 candidate(s): ['wilford h. fawcett house']
2026-03-25 05:56:10 | SimilarityScript | INFO | [Gate3 FAIL] 'fawcett house' <-> 'wilford h. fawcett house' cosine=0.538 (threshold 0.88)
2026-03-25 05:56:10 | SimilarityScript | INFO | [Gate1] 'federal court house tower' → 1 candidate(s): ['carl b. stokes federal court house tower']
2026-03-25 05:56:10 | SimilarityScript | INFO | [Gate1] 'wilford h. fawcett house' → 1 candidate(s): ['fawcett house']
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate1] 'billboard 200' → 1 candidate(s): ['the billboard 200']
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate3 FAIL] 'billboard 200' <-> 'the billboard 200' cosine=0.544 (threshold 0.88)
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate1] 'billboard hot 100' → 2 candidate(s): ['us billboard hot 100', 'hot 100']
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate3 FAIL] 'billboard hot 100' <-> 'us billboard hot 100' cosine=0.734 (threshold 0.88)
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate3 FAIL] 'billboard hot 100' <-> 'hot 100' cosine=0.760 (threshold 0.88)
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate1] 'hot 100' → 2 candidate(s): ['us billboard hot 100', 'billboard hot 100']
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate3 FAIL] 'hot 100' <-> 'us billboard hot 100' cosine=0.622 (threshold 0.88)
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate1] 'the billboard 200' → 1 candidate(s): ['billboard 200']
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate1] 'us billboard hot 100' → 2 candidate(s): ['hot 100', 'billboard hot 100']
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate1] 'kansas city' → 2 candidate(s): ['kansas city, kansas', 'north kansas city']
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate3 FAIL] 'kansas city' <-> 'kansas city, kansas' cosine=0.687 (threshold 0.88)
2026-03-25 05:56:11 | SimilarityScript | INFO | [Gate3 FAIL] 'kansas city' <-> 'north kansas city' cosine=0.703 (threshold 0.88)
2026-03-25 05:56:12 | SimilarityScript | INFO | [Gate1] 'kansas city, kansas' → 1 candidate(s): ['kansas city']
2026-03-25 05:56:12 | SimilarityScript | INFO | [Gate1] 'north kansas city' → 1 candidate(s): ['kansas city']
2026-03-25 05:56:13 | SimilarityScript | INFO | [Gate1] 'st. andre' → 1 candidate(s): ['st. andre vidhan sabha constituency']
2026-03-25 05:56:13 | SimilarityScript | INFO | [Gate3 FAIL] 'st. andre' <-> 'st. andre vidhan sabha constituency' cosine=0.789 (threshold 0.88)
2026-03-25 05:56:13 | SimilarityScript | INFO | [Gate1] 'st. andre vidhan sabha constituency' → 1 candidate(s): ['st. andre']
2026-03-25 05:56:17 | SimilarityScript | INFO | [Gate1] 'the holy one' → 1 candidate(s): ['the holy one—blessed be he!']
2026-03-25 05:56:17 | SimilarityScript | INFO | [Gate3 FAIL] 'the holy one' <-> 'the holy one—blessed be he!' cosine=0.810 (threshold 0.88)
2026-03-25 05:56:17 | SimilarityScript | INFO | [Gate1] 'the holy one—blessed be he!' → 1 candidate(s): ['the holy one']
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate1] '1.5 mi' → 1 candidate(s): ['5 mi']
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate3 FAIL] '1.5 mi' <-> '5 mi' cosine=0.545 (threshold 0.88)
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate1] '5 mi' → 1 candidate(s): ['1.5 mi']
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate1] 'american rat terrier' → 1 candidate(s): ['rat terrier']
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate3 FAIL] 'american rat terrier' <-> 'rat terrier' cosine=0.648 (threshold 0.88)
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate1] 'manchester terrier' → 1 candidate(s): ['toy manchester terrier']
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate3 FAIL] 'manchester terrier' <-> 'toy manchester terrier' cosine=0.821 (threshold 0.88)
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate1] 'rat terrier' → 1 candidate(s): ['american rat terrier']
2026-03-25 05:56:18 | SimilarityScript | INFO | [Gate1] 'toy manchester terrier' → 1 candidate(s): ['manchester terrier']
2026-03-25 05:56:19 | SimilarityScript | INFO | [Gate1] 'higher secondary level' → 1 candidate(s): ['secondary level']
2026-03-25 05:56:19 | SimilarityScript | INFO | [Gate3 FAIL] 'higher secondary level' <-> 'secondary level' cosine=0.481 (threshold 0.88)
2026-03-25 05:56:19 | SimilarityScript | INFO | [Gate1] 'secondary level' → 1 candidate(s): ['higher secondary level']
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate1] '500 mile race' → 1 candidate(s): ['indianapolis 500 mile race']
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate3 FAIL] '500 mile race' <-> 'indianapolis 500 mile race' cosine=0.442 (threshold 0.88)
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate1] '89th annual memorial cup' → 1 candidate(s): ['memorial cup']
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate3 FAIL] '89th annual memorial cup' <-> 'memorial cup' cosine=0.512 (threshold 0.88)
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate1] '900th formula one world championship event' → 1 candidate(s): ['world championship']
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate3 FAIL] '900th formula one world championship event' <-> 'world championship' cosine=0.314 (threshold 0.88)
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate1] 'afl-nfl world championship game' → 2 candidate(s): ['world championship', 'championship game']
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate3 FAIL] 'afl-nfl world championship game' <-> 'world championship' cosine=0.350 (threshold 0.88)
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate3 FAIL] 'afl-nfl world championship game' <-> 'championship game' cosine=0.312 (threshold 0.88)
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate1] 'america east conference regular season championship' → 1 candidate(s): ['third consecutive america east conference regular season championship']
2026-03-25 05:56:21 | SimilarityScript | INFO | [Gate3 PASS] 'america east conference regular season championship' <-> 'third consecutive america east conference regular season championship' cosine=0.937
2026-03-25 05:56:23 | SimilarityScript | INFO |   [CREATED] IS_SYNONYMOUS_DESCRIPTION: 'america east conference regular season championship' <-> 'third consecutive america east conference regular season championship' (confidence=1.00)
2026-03-25 05:56:23 | SimilarityScript | INFO | [Gate1] 'american civil war' → 1 candidate(s): ['civil war']
2026-03-25 05:56:23 | SimilarityScript | INFO | [Gate3 FAIL] 'american civil war' <-> 'civil war' cosine=0.492 (threshold 0.88)
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate1] 'birthday honours' → 1 candidate(s): ["king's/queen's birthday honours"]
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate3 FAIL] 'birthday honours' <-> 'king's/queen's birthday honours' cosine=0.847 (threshold 0.88)
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate1] 'championship game' → 1 candidate(s): ['afl-nfl world championship game']
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate1] 'civil war' → 4 candidate(s): ['spanish civil war', 'irish civil war', 'american civil war', 'russian civil war']
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate3 FAIL] 'civil war' <-> 'spanish civil war' cosine=0.366 (threshold 0.88)
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate3 FAIL] 'civil war' <-> 'irish civil war' cosine=0.310 (threshold 0.88)
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate3 FAIL] 'civil war' <-> 'russian civil war' cosine=0.475 (threshold 0.88)
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate1] 'el chasqui-ny' → 1 candidate(s): ['vi race and hike "el chasqui-ny"']
2026-03-25 05:56:24 | SimilarityScript | INFO | [Gate3 PASS] 'el chasqui-ny' <-> 'vi race and hike "el chasqui-ny"' cosine=0.896
2026-03-25 05:56:26 | SimilarityScript | INFO |   [CREATED] IS_SYNONYM: 'el chasqui-ny' <-> 'vi race and hike "el chasqui-ny"' (confidence=1.00)
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'first four' → 1 candidate(s): ['the first four']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate3 FAIL] 'first four' <-> 'the first four' cosine=0.753 (threshold 0.88)
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'gore presidential campaign' → 1 candidate(s): ['presidential campaign']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate3 FAIL] 'gore presidential campaign' <-> 'presidential campaign' cosine=0.317 (threshold 0.88)
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'indianapolis 500 mile race' → 1 candidate(s): ['500 mile race']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'irish civil war' → 1 candidate(s): ['civil war']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'king's/queen's birthday honours' → 1 candidate(s): ['birthday honours']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'memorial cup' → 1 candidate(s): ['89th annual memorial cup']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'mexican independence' → 1 candidate(s): ['mexican independence day']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate3 FAIL] 'mexican independence' <-> 'mexican independence day' cosine=0.723 (threshold 0.88)
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'mexican independence day' → 1 candidate(s): ['mexican independence']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate1] 'ncaa tournament' → 1 candidate(s): ['third straight ncaa tournament appearance']
2026-03-25 05:56:26 | SimilarityScript | INFO | [Gate3 FAIL] 'ncaa tournament' <-> 'third straight ncaa tournament appearance' cosine=0.624 (threshold 0.88)
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'official birthday' → 1 candidate(s): ["queen's official birthday"]
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate3 FAIL] 'official birthday' <-> 'queen's official birthday' cosine=0.780 (threshold 0.88)
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'presidential campaign' → 1 candidate(s): ['gore presidential campaign']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'queen's official birthday' → 1 candidate(s): ['official birthday']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'russian civil war' → 1 candidate(s): ['civil war']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'spanish civil war' → 1 candidate(s): ['civil war']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'the first four' → 1 candidate(s): ['first four']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'third consecutive america east conference regular season championship' → 1 candidate(s): ['america east conference regular season championship']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'third season' → 1 candidate(s): ['third season finale']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate3 FAIL] 'third season' <-> 'third season finale' cosine=0.411 (threshold 0.88)
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'third season finale' → 1 candidate(s): ['third season']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'third straight ncaa tournament appearance' → 1 candidate(s): ['ncaa tournament']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'vi race and hike "el chasqui-ny"' → 1 candidate(s): ['el chasqui-ny']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'world championship' → 3 candidate(s): ['world championship boxing bouts', 'afl-nfl world championship game', '900th formula one world championship event']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate3 FAIL] 'world championship' <-> 'world championship boxing bouts' cosine=0.364 (threshold 0.88)
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'world championship boxing bouts' → 1 candidate(s): ['world championship']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'world heavyweight title' → 1 candidate(s): ['world heavyweight title fight']
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate3 FAIL] 'world heavyweight title' <-> 'world heavyweight title fight' cosine=0.743 (threshold 0.88)
2026-03-25 05:56:27 | SimilarityScript | INFO | [Gate1] 'world heavyweight title fight' → 1 candidate(s): ['world heavyweight title']
2026-03-25 05:56:28 | SimilarityScript | INFO | [Gate1] 'mobile remote control' → 1 candidate(s): ['remote control']
2026-03-25 05:56:28 | SimilarityScript | INFO | [Gate3 FAIL] 'mobile remote control' <-> 'remote control' cosine=0.705 (threshold 0.88)
2026-03-25 05:56:28 | SimilarityScript | INFO | [Gate1] 'remote control' → 1 candidate(s): ['mobile remote control']
2026-03-25 05:56:29 | SimilarityScript | INFO | [Gate1] 'deliver us from evil' → 1 candidate(s): ['deliver us from evil (2014 film)']
2026-03-25 05:56:29 | SimilarityScript | INFO | [Gate3 PASS] 'deliver us from evil' <-> 'deliver us from evil (2014 film)' cosine=0.965
2026-03-25 05:56:30 | SimilarityScript | INFO |   [CREATED] IS_SYNONYMOUS_TITLE: 'deliver us from evil' <-> 'deliver us from evil (2014 film)' (confidence=1.00)
2026-03-25 05:56:30 | SimilarityScript | INFO | [Gate1] 'deliver us from evil (2014 film)' → 1 candidate(s): ['deliver us from evil']
2026-03-25 05:56:30 | SimilarityScript | INFO | [Gate1] 'doctor strange' → 1 candidate(s): ['doctor strange (2016 film)']
2026-03-25 05:56:30 | SimilarityScript | INFO | [Gate3 FAIL] 'doctor strange' <-> 'doctor strange (2016 film)' cosine=0.670 (threshold 0.88)
2026-03-25 05:56:30 | SimilarityScript | INFO | [Gate1] 'doctor strange (2016 film)' → 1 candidate(s): ['doctor strange']
2026-03-25 05:56:30 | SimilarityScript | INFO | [Gate1] 'ed wood' → 1 candidate(s): ['ed wood (film)']
2026-03-25 05:56:30 | SimilarityScript | INFO | [Gate3 FAIL] 'ed wood' <-> 'ed wood (film)' cosine=0.791 (threshold 0.88)
2026-03-25 05:56:30 | SimilarityScript | INFO | [Gate1] 'ed wood (film)' → 1 candidate(s): ['ed wood']
2026-03-25 05:56:31 | SimilarityScript | INFO | [Gate1] 'gone in 60 seconds' → 2 candidate(s): ['gone in 60 seconds (2000 film)', 'gone in 60 seconds (1974 film)']
2026-03-25 05:56:31 | SimilarityScript | INFO | [Gate3 FAIL] 'gone in 60 seconds' <-> 'gone in 60 seconds (2000 film)' cosine=0.826 (threshold 0.88)
2026-03-25 05:56:31 | SimilarityScript | INFO | [Gate3 FAIL] 'gone in 60 seconds' <-> 'gone in 60 seconds (1974 film)' cosine=0.603 (threshold 0.88)
2026-03-25 05:56:31 | SimilarityScript | INFO | [Gate1] 'gone in 60 seconds (1974 film)' → 1 candidate(s): ['gone in 60 seconds']
2026-03-25 05:56:31 | SimilarityScript | INFO | [Gate1] 'gone in 60 seconds (2000 film)' → 1 candidate(s): ['gone in 60 seconds']
2026-03-25 05:56:31 | SimilarityScript | INFO | [Gate1] 'guardians of the galaxy' → 1 candidate(s): ['guardians of the galaxy vol. 2']
2026-03-25 05:56:31 | SimilarityScript | INFO | [Gate3 FAIL] 'guardians of the galaxy' <-> 'guardians of the galaxy vol. 2' cosine=0.835 (threshold 0.88)
2026-03-25 05:56:31 | SimilarityScript | INFO | [Gate1] 'guardians of the galaxy vol. 2' → 1 candidate(s): ['guardians of the galaxy']
2026-03-25 05:56:32 | SimilarityScript | INFO | [Gate1] 'romantic comedy' → 1 candidate(s): ['transgressive romantic comedy']
2026-03-25 05:56:32 | SimilarityScript | INFO | [Gate3 FAIL] 'romantic comedy' <-> 'transgressive romantic comedy' cosine=0.461 (threshold 0.88)
2026-03-25 05:56:32 | SimilarityScript | INFO | [Gate1] 'transgressive romantic comedy' → 1 candidate(s): ['romantic comedy']
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate1] 'charmed ones' → 1 candidate(s): ['the charmed ones']
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate3 FAIL] 'charmed ones' <-> 'the charmed ones' cosine=0.662 (threshold 0.88)
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate1] 'delegations representing indigenous peoples' → 1 candidate(s): ['indigenous peoples']
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate3 FAIL] 'delegations representing indigenous peoples' <-> 'indigenous peoples' cosine=0.804 (threshold 0.88)
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate1] 'delegations representing the private sector' → 1 candidate(s): ['private sector']
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate3 FAIL] 'delegations representing the private sector' <-> 'private sector' cosine=0.604 (threshold 0.88)
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate1] 'delegations representing the religious sector' → 1 candidate(s): ['religious sector']
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate3 FAIL] 'delegations representing the religious sector' <-> 'religious sector' cosine=0.821 (threshold 0.88)
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate1] 'editorial staff' → 1 candidate(s): ["iffhs's editorial staff"]
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate3 FAIL] 'editorial staff' <-> 'iffhs's editorial staff' cosine=0.740 (threshold 0.88)
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate1] 'halliwell sisters' → 1 candidate(s): ['the halliwell sisters']
2026-03-25 05:56:33 | SimilarityScript | INFO | [Gate3 PASS] 'halliwell sisters' <-> 'the halliwell sisters' cosine=0.902
2026-03-25 05:56:35 | SimilarityScript | INFO |   [CREATED] IS_SYNONYM: 'halliwell sisters' <-> 'the halliwell sisters' (confidence=1.00)
2026-03-25 05:56:35 | SimilarityScript | INFO | [Gate1] 'iffhs's editorial staff' → 1 candidate(s): ['editorial staff']
2026-03-25 05:56:35 | SimilarityScript | INFO | [Gate1] 'indigenous peoples' → 2 candidate(s): ['indigenous peoples of florida', 'delegations representing indigenous peoples']
2026-03-25 05:56:35 | SimilarityScript | INFO | [Gate3 FAIL] 'indigenous peoples' <-> 'indigenous peoples of florida' cosine=0.290 (threshold 0.88)
2026-03-25 05:56:35 | SimilarityScript | INFO | [Gate1] 'indigenous peoples of florida' → 1 candidate(s): ['indigenous peoples']
2026-03-25 05:56:35 | SimilarityScript | INFO | [Gate1] 'private sector' → 1 candidate(s): ['delegations representing the private sector']
2026-03-25 05:56:35 | SimilarityScript | INFO | [Gate1] 'religious sector' → 1 candidate(s): ['delegations representing the religious sector']
2026-03-25 05:56:36 | SimilarityScript | INFO | [Gate1] 'the charmed ones' → 1 candidate(s): ['charmed ones']
2026-03-25 05:56:36 | SimilarityScript | INFO | [Gate1] 'the halliwell sisters' → 1 candidate(s): ['halliwell sisters']
2026-03-25 05:56:38 | SimilarityScript | INFO | [Gate1] '135 ft' → 1 candidate(s): ['5 ft']
2026-03-25 05:56:38 | SimilarityScript | INFO | [Gate3 FAIL] '135 ft' <-> '5 ft' cosine=0.251 (threshold 0.88)
2026-03-25 05:56:39 | SimilarityScript | INFO | [Gate1] '5 ft' → 1 candidate(s): ['135 ft']
2026-03-25 05:56:41 | SimilarityScript | INFO | [Gate1] '40th vice president of the united states' → 1 candidate(s): ['vice president of the united states']
2026-03-25 05:56:41 | SimilarityScript | INFO | [Gate3 FAIL] '40th vice president of the united states' <-> 'vice president of the united states' cosine=0.521 (threshold 0.88)
2026-03-25 05:56:41 | SimilarityScript | INFO | [Gate1] 'vice president of the united states' → 1 candidate(s): ['40th vice president of the united states']
