2026-02-26 21:07:58 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Professional' entities=[Entity(name='Bill Cosby', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.'), Entity(name='Stax Records', type='Organization', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.'), Entity(name='Partee Records', type='Organization', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.'), Entity(name='Ray Parker, Jr.', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.'), Entity(name='Stu Gardner', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.')] concepts=[Concept(name='Album', definition='', isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby.'), Concept(name='Music', definition='', isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.')] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 21:08:13 | IngestionPipeline | INFO |   [Perf] Graph Storage took: 11.9018s
2026-02-26 21:08:13 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 21:08:13 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 21:09:22 | IngestionPipeline | INFO |   [Ingestion] Extracted 7 atomic facts for Concept: music
2026-02-26 21:09:22 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 8 context(s) for Concept: music
2026-02-26 21:09:23 | IngestionPipeline | INFO |   Summary updated for Concept: music (Title: Music Song Releases)
2026-02-26 21:09:23 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: music (Concept)
2026-02-26 21:09:26 | IngestionPipeline | INFO |   [Ingestion] Extracted 3 atomic facts for Entity: stax records
2026-02-26 21:09:26 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: stax records
2026-02-26 21:09:26 | IngestionPipeline | INFO |   Summary updated for Entity: stax records (Title: Stax Records Album Release)
2026-02-26 21:09:26 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: stax records (Entity:Organization)
2026-02-26 21:09:30 | IngestionPipeline | INFO |   [Ingestion] Extracted 3 atomic facts for Entity: stevie wonder
2026-02-26 21:09:30 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 2 context(s) for Entity: stevie wonder
2026-02-26 21:09:31 | IngestionPipeline | INFO |   Summary updated for Entity: stevie wonder (Title: Stevie Wonder)
2026-02-26 21:09:31 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: stevie wonder (Entity:Vocalist)
2026-02-26 21:09:39 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 7 context(s) for Entity: bill cosby
2026-02-26 21:09:40 | IngestionPipeline | INFO |   Summary updated for Entity: bill cosby (Title: Bill Cosby Albums and Songs)
2026-02-26 21:09:40 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: bill cosby (Entity:Person)
2026-02-26 21:09:43 | IngestionPipeline | INFO |   [Ingestion] Extracted 3 atomic facts for Entity: ray parker, jr.
2026-02-26 21:09:43 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: ray parker, jr.
2026-02-26 21:09:44 | IngestionPipeline | INFO |   Summary updated for Entity: ray parker, jr. (Title: Ray Parker, Jr. - Musician)
2026-02-26 21:09:44 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: ray parker, jr. (Entity:Person)
2026-02-26 21:09:49 | IngestionPipeline | INFO |   [Ingestion] Extracted 5 atomic facts for Entity: r&b star
2026-02-26 21:09:49 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: r&b star
2026-02-26 21:09:49 | IngestionPipeline | INFO |   Summary updated for Entity: r&b star (Title: Bill Cosby's 'At Last' Album)
2026-02-26 21:09:49 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: r&b star (Entity:Thing)
2026-02-26 21:09:56 | IngestionPipeline | INFO |   [Ingestion] Extracted 7 atomic facts for Entity: stu gardner
2026-02-26 21:09:56 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: stu gardner
2026-02-26 21:09:57 | IngestionPipeline | INFO |   Summary updated for Entity: stu gardner (Title: Stu Gardner - Musician)
2026-02-26 21:09:57 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: stu gardner (Entity:Person)
2026-02-26 21:10:06 | IngestionPipeline | INFO |   [Ingestion] Extracted 8 atomic facts for Concept: album
2026-02-26 21:10:06 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 12 context(s) for Concept: album
2026-02-26 21:10:07 | IngestionPipeline | INFO |   Summary updated for Concept: album (Title: Album Knowledge Graph Entry)
2026-02-26 21:10:07 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: album (Concept)
2026-02-26 21:10:13 | IngestionPipeline | INFO |   [Ingestion] Extracted 6 atomic facts for Entity: partee records
2026-02-26 21:10:13 | IngestionPipeline | INFO |   [Ingestion] Generated summary from 1 context(s) for Entity: partee records
2026-02-26 21:10:13 | IngestionPipeline | INFO |   Summary updated for Entity: partee records (Title: Partee Records Album Releases)
2026-02-26 21:10:13 | IngestionPipeline | INFO |   [Perf] Summarization took: 119.9512s
2026-02-26 21:10:13 | IngestionPipeline | INFO |   [Alias] Checking for aliases of: partee records (Entity:Organization)
2026-02-26 21:10:13 | IngestionPipeline | INFO | [Ingestion] Marked Note 4a41873a-7134-4b08-aff5-4cbd7186d157 as Processed.
2026-02-26 21:10:13 | IngestionPipeline | INFO | 
[Ingestion] Total Pipeline Duration: 168.3581s
2026-02-26 21:10:13 | IngestionPipeline | INFO | [2026-02-26 21:10:13.862252] SUCCESS: Note 4a41873a-7134-4b08-aff5-4cbd7186d157 fully indexed in 168.36s.
2026-02-26 23:21:40 | IngestionPipeline | INFO | [2026-02-26 23:21:40.194439] START: Ingesting Note 2ea5b944-1118-47d3-8ba4-dcaa758a3632
2026-02-26 23:21:40 | IngestionPipeline | INFO | Processing Multimedia Sources...
2026-02-26 23:21:40 | IngestionPipeline | INFO | Sempahore Acquired. (Active: 2)
2026-02-26 23:21:40 | IngestionPipeline | INFO | Multimedia processing took: 0.0003s
2026-02-26 23:21:40 | IngestionPipeline | INFO | Extracting Metadata (Knowledge Architect)...
2026-02-26 23:21:40 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:21:40 | IngestionPipeline | INFO | Filtered/Renamed Entities: []
2026-02-26 23:21:40 | IngestionPipeline | INFO | Filtered/Renamed Concepts: []
2026-02-26 23:21:40 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:21:40 | IngestionPipeline | INFO | Extracted: 0 entities, 0 concepts, 0 references.
2026-02-26 23:21:40 | IngestionPipeline | INFO | Domain: Personal
2026-02-26 23:21:40 | IngestionPipeline | INFO | Extraction took: 0.1245s
2026-02-26 23:21:40 | IngestionPipeline | INFO | [Ingestion] Using provided title: 'British Journal of Social Psychology'
2026-02-26 23:21:40 | IngestionPipeline | ERROR | [2026-02-26 23:21:40.330099] FAILURE: Ingestion Failed for 2ea5b944-1118-47d3-8ba4-dcaa758a3632: ['Storage failed: Error code: 400 - {\'error\': {\'message\': \'Invalid model identifier "gemma3:4b". Please specify a valid downloaded model (e.g., qwen3-embedding-8b-dwq, qwen3-embedding-0.6b-dwq, google/gemma-3-4b@4bit).\', \'type\': \'invalid_request_error\', \'param\': \'model\', \'code\': \'model_not_found\'}}']
2026-02-26 23:22:12 | IngestionPipeline | INFO | [2026-02-26 23:22:12.048776] START: Ingesting Note bd3abf03-4977-42fa-96c1-15ef170f25df
2026-02-26 23:22:12 | IngestionPipeline | INFO | Processing Multimedia Sources...
2026-02-26 23:22:12 | IngestionPipeline | INFO | Sempahore Acquired. (Active: 2)
2026-02-26 23:22:12 | IngestionPipeline | INFO | Multimedia processing took: 0.0008s
2026-02-26 23:22:12 | IngestionPipeline | INFO | Extracting Metadata (Knowledge Architect)...
2026-02-26 23:22:12 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:12 | IngestionPipeline | INFO | Filtered/Renamed Entities: []
2026-02-26 23:22:12 | IngestionPipeline | INFO | Filtered/Renamed Concepts: []
2026-02-26 23:22:12 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:12 | IngestionPipeline | INFO | Extracted: 0 entities, 0 concepts, 0 references.
2026-02-26 23:22:12 | IngestionPipeline | INFO | Domain: Personal
2026-02-26 23:22:12 | IngestionPipeline | INFO | Extraction took: 0.0763s
2026-02-26 23:22:12 | IngestionPipeline | INFO | [Ingestion] Using provided title: 'British Journal of Social Psychology'
2026-02-26 23:22:17 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Title for Note bd3abf03-4977-42fa-96c1-15ef170f25df: 'British Journal of Social Psychology'
2026-02-26 23:22:17 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Domain for Note bd3abf03-4977-42fa-96c1-15ef170f25df: 'Personal'
2026-02-26 23:22:17 | IngestionPipeline | INFO |   [Perf] Graph Storage took: 5.7362s
2026-02-26 23:22:17 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:17 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:17 | IngestionPipeline | INFO |   [Perf] Summarization took: 0.0001s
2026-02-26 23:22:17 | IngestionPipeline | INFO | [Ingestion] Marked Note bd3abf03-4977-42fa-96c1-15ef170f25df as Processed.
2026-02-26 23:22:17 | IngestionPipeline | INFO | 
[Ingestion] Total Pipeline Duration: 5.8184s
2026-02-26 23:22:17 | IngestionPipeline | INFO | [2026-02-26 23:22:17.885922] SUCCESS: Note bd3abf03-4977-42fa-96c1-15ef170f25df fully indexed in 5.82s.
2026-02-26 23:22:18 | IngestionPipeline | INFO | [2026-02-26 23:22:18.165681] START: Ingesting Note 17764f8d-b088-42ec-aef4-1c1908aec89c
2026-02-26 23:22:18 | IngestionPipeline | INFO | Processing Multimedia Sources...
2026-02-26 23:22:18 | IngestionPipeline | INFO | Sempahore Acquired. (Active: 2)
2026-02-26 23:22:18 | IngestionPipeline | INFO | Multimedia processing took: 0.0001s
2026-02-26 23:22:18 | IngestionPipeline | INFO | Extracting Metadata (Knowledge Architect)...
2026-02-26 23:22:18 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:18 | IngestionPipeline | INFO | Filtered/Renamed Entities: []
2026-02-26 23:22:18 | IngestionPipeline | INFO | Filtered/Renamed Concepts: []
2026-02-26 23:22:18 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:18 | IngestionPipeline | INFO | Extracted: 0 entities, 0 concepts, 0 references.
2026-02-26 23:22:18 | IngestionPipeline | INFO | Domain: Personal
2026-02-26 23:22:18 | IngestionPipeline | INFO | Extraction took: 0.0064s
2026-02-26 23:22:18 | IngestionPipeline | INFO | [Ingestion] Using provided title: 'National Intelligence Board'
2026-02-26 23:22:19 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Title for Note 17764f8d-b088-42ec-aef4-1c1908aec89c: 'National Intelligence Board'
2026-02-26 23:22:19 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Domain for Note 17764f8d-b088-42ec-aef4-1c1908aec89c: 'Personal'
2026-02-26 23:22:19 | IngestionPipeline | INFO |   [Perf] Graph Storage took: 1.4227s
2026-02-26 23:22:19 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:19 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:19 | IngestionPipeline | INFO |   [Perf] Summarization took: 0.0001s
2026-02-26 23:22:19 | IngestionPipeline | INFO | [Ingestion] Marked Note 17764f8d-b088-42ec-aef4-1c1908aec89c as Processed.
2026-02-26 23:22:19 | IngestionPipeline | INFO | 
[Ingestion] Total Pipeline Duration: 1.4316s
2026-02-26 23:22:19 | IngestionPipeline | INFO | [2026-02-26 23:22:19.617996] SUCCESS: Note 17764f8d-b088-42ec-aef4-1c1908aec89c fully indexed in 1.43s.
2026-02-26 23:22:19 | IngestionPipeline | INFO | [2026-02-26 23:22:19.707911] START: Ingesting Note 3a0d2920-e414-4cb2-b817-3a10d213c242
2026-02-26 23:22:19 | IngestionPipeline | INFO | Processing Multimedia Sources...
2026-02-26 23:22:19 | IngestionPipeline | INFO | Sempahore Acquired. (Active: 2)
2026-02-26 23:22:19 | IngestionPipeline | INFO | Multimedia processing took: 0.0001s
2026-02-26 23:22:19 | IngestionPipeline | INFO | Extracting Metadata (Knowledge Architect)...
2026-02-26 23:22:19 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:19 | IngestionPipeline | INFO | Filtered/Renamed Entities: []
2026-02-26 23:22:19 | IngestionPipeline | INFO | Filtered/Renamed Concepts: []
2026-02-26 23:22:19 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:19 | IngestionPipeline | INFO | Extracted: 0 entities, 0 concepts, 0 references.
2026-02-26 23:22:19 | IngestionPipeline | INFO | Domain: Personal
2026-02-26 23:22:19 | IngestionPipeline | INFO | Extraction took: 0.0080s
2026-02-26 23:22:19 | IngestionPipeline | INFO | [Ingestion] Using provided title: 'Roald Dahl'
2026-02-26 23:22:21 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Title for Note 3a0d2920-e414-4cb2-b817-3a10d213c242: 'Roald Dahl'
2026-02-26 23:22:21 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Domain for Note 3a0d2920-e414-4cb2-b817-3a10d213c242: 'Personal'
2026-02-26 23:22:21 | IngestionPipeline | INFO |   [Perf] Graph Storage took: 1.7255s
2026-02-26 23:22:21 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:21 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:21 | IngestionPipeline | INFO |   [Perf] Summarization took: 0.0001s
2026-02-26 23:22:21 | IngestionPipeline | INFO | [Ingestion] Marked Note 3a0d2920-e414-4cb2-b817-3a10d213c242 as Processed.
2026-02-26 23:22:21 | IngestionPipeline | INFO | 
[Ingestion] Total Pipeline Duration: 1.7360s
2026-02-26 23:22:21 | IngestionPipeline | INFO | [2026-02-26 23:22:21.471298] SUCCESS: Note 3a0d2920-e414-4cb2-b817-3a10d213c242 fully indexed in 1.74s.
2026-02-26 23:22:21 | IngestionPipeline | INFO | [2026-02-26 23:22:21.776871] START: Ingesting Note 52f2075e-84c5-4c94-a1fe-13f152824f69
2026-02-26 23:22:21 | IngestionPipeline | INFO | Processing Multimedia Sources...
2026-02-26 23:22:21 | IngestionPipeline | INFO | Sempahore Acquired. (Active: 2)
2026-02-26 23:22:21 | IngestionPipeline | INFO | Multimedia processing took: 0.0001s
2026-02-26 23:22:21 | IngestionPipeline | INFO | Extracting Metadata (Knowledge Architect)...
2026-02-26 23:22:21 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:21 | IngestionPipeline | INFO | Filtered/Renamed Entities: []
2026-02-26 23:22:21 | IngestionPipeline | INFO | Filtered/Renamed Concepts: []
2026-02-26 23:22:21 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:21 | IngestionPipeline | INFO | Extracted: 0 entities, 0 concepts, 0 references.
2026-02-26 23:22:21 | IngestionPipeline | INFO | Domain: Personal
2026-02-26 23:22:21 | IngestionPipeline | INFO | Extraction took: 0.0096s
2026-02-26 23:22:21 | IngestionPipeline | INFO | [Ingestion] Using provided title: '2013 Birthday Honours'
2026-02-26 23:22:24 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Title for Note 52f2075e-84c5-4c94-a1fe-13f152824f69: '2013 Birthday Honours'
2026-02-26 23:22:24 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Domain for Note 52f2075e-84c5-4c94-a1fe-13f152824f69: 'Personal'
2026-02-26 23:22:24 | IngestionPipeline | INFO |   [Perf] Graph Storage took: 3.1702s
2026-02-26 23:22:24 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:24 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:24 | IngestionPipeline | INFO |   [Perf] Summarization took: 0.0001s
2026-02-26 23:22:24 | IngestionPipeline | INFO | [Ingestion] Marked Note 52f2075e-84c5-4c94-a1fe-13f152824f69 as Processed.
2026-02-26 23:22:24 | IngestionPipeline | INFO | 
[Ingestion] Total Pipeline Duration: 3.1830s
2026-02-26 23:22:24 | IngestionPipeline | INFO | [2026-02-26 23:22:24.978827] SUCCESS: Note 52f2075e-84c5-4c94-a1fe-13f152824f69 fully indexed in 3.18s.
2026-02-26 23:22:25 | IngestionPipeline | INFO | [2026-02-26 23:22:25.378397] START: Ingesting Note b74ba9da-e6dc-408f-bca1-560681c72fe7
2026-02-26 23:22:25 | IngestionPipeline | INFO | Processing Multimedia Sources...
2026-02-26 23:22:25 | IngestionPipeline | INFO | Sempahore Acquired. (Active: 2)
2026-02-26 23:22:25 | IngestionPipeline | INFO | Multimedia processing took: 0.0001s
2026-02-26 23:22:25 | IngestionPipeline | INFO | Extracting Metadata (Knowledge Architect)...
2026-02-26 23:22:25 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:25 | IngestionPipeline | INFO | Filtered/Renamed Entities: []
2026-02-26 23:22:25 | IngestionPipeline | INFO | Filtered/Renamed Concepts: []
2026-02-26 23:22:25 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:25 | IngestionPipeline | INFO | Extracted: 0 entities, 0 concepts, 0 references.
2026-02-26 23:22:25 | IngestionPipeline | INFO | Domain: Personal
2026-02-26 23:22:25 | IngestionPipeline | INFO | Extraction took: 0.0084s
2026-02-26 23:22:25 | IngestionPipeline | INFO | [Ingestion] Using provided title: 'Tysons_ Virginia'
2026-02-26 23:22:27 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Title for Note b74ba9da-e6dc-408f-bca1-560681c72fe7: 'Tysons_ Virginia'
2026-02-26 23:22:28 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Domain for Note b74ba9da-e6dc-408f-bca1-560681c72fe7: 'Personal'
2026-02-26 23:22:28 | IngestionPipeline | INFO |   [Perf] Graph Storage took: 2.6408s
2026-02-26 23:22:28 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:28 | IngestionPipeline | INFO | [Agent] Updating Neighborhood Summaries (Delta Updates)...
2026-02-26 23:22:28 | IngestionPipeline | INFO |   [Perf] Summarization took: 0.0017s
2026-02-26 23:22:28 | IngestionPipeline | INFO | [Ingestion] Marked Note b74ba9da-e6dc-408f-bca1-560681c72fe7 as Processed.
2026-02-26 23:22:28 | IngestionPipeline | INFO | 
[Ingestion] Total Pipeline Duration: 2.6691s
2026-02-26 23:22:28 | IngestionPipeline | INFO | [2026-02-26 23:22:28.187978] SUCCESS: Note b74ba9da-e6dc-408f-bca1-560681c72fe7 fully indexed in 2.67s.
2026-02-26 23:22:28 | IngestionPipeline | INFO | [2026-02-26 23:22:28.445462] START: Ingesting Note 7956c4b7-6f9e-4abc-ab69-2366af38f9e0
2026-02-26 23:22:28 | IngestionPipeline | INFO | Processing Multimedia Sources...
2026-02-26 23:22:28 | IngestionPipeline | INFO | Sempahore Acquired. (Active: 2)
2026-02-26 23:22:28 | IngestionPipeline | INFO | Multimedia processing took: 0.0001s
2026-02-26 23:22:28 | IngestionPipeline | INFO | Extracting Metadata (Knowledge Architect)...
2026-02-26 23:22:28 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:28 | IngestionPipeline | INFO | Filtered/Renamed Entities: []
2026-02-26 23:22:28 | IngestionPipeline | INFO | Filtered/Renamed Concepts: []
2026-02-26 23:22:28 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Personal' entities=[] concepts=[] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 23:22:28 | IngestionPipeline | INFO | Extracted: 0 entities, 0 concepts, 0 references.
2026-02-26 23:22:28 | IngestionPipeline | INFO | Domain: Personal
2026-02-26 23:22:28 | IngestionPipeline | INFO | Extraction took: 0.0069s
